"query","search interest","increase percent"
"o que dislexia",100,"7%"
"o que é dislexia",85,"20%"
"o que que é dislexia",81,"7%"
"dislexia o que é",79,"-2%"
"dislexia o que e",26,"10%"
"o que e dislexia",26,"10%"
"tdah",25,"6%"
"sintomas dislexia",23,"-20%"
"dislexia sintomas",23,"-20%"
"pessoa dislexia",18,"30%"
"o que é a dislexia",16,"10%"
"tdah e dislexia",15,"20%"
"dislexia e tdah",15,"20%"
"dislexia cid",14,"20%"
"cid dislexia",14,"20%"
"dislexia teste",13,"1%"
"teste dislexia",13,"0%"
"discalculia",13,"8%"
"atividades dislexia",10,"2%"
"sintomas de dislexia",9,"-10%"
"atividades para dislexia",9,"10%"
"dislexia significado",8,"-20%"
"autismo",8,"10%"
"pessoa com dislexia",8,"20%"
"teste de dislexia",8,"8%"
"dislexia e discalculia",7,"20%"
"discalculia e dislexia",7,"20%"
"disgrafia",7,"3%"
"tdh",7,"50%"
"o'que dislexia",7,"10%"
"dislexia adulto",7,"-10%"
"dislexia em adultos",6,"3%"
"teste para dislexia",6,"20%"
"o que significa dislexia",6,"20%"
"dislexia o que significa",6,"20%"
"tratamento dislexia",6,"7%"
"dislexia características",5,"30%"
"dislexia tratamento",5,"4%"
"transtorno de aprendizagem",5,"20%"
"o'que é dislexia",5,"20%"
"dislexia sinais",5,"-9%"
"dislexia é deficiencia",5,"30%"
"dislexia diagnóstico",5,"8%"
"dificuldade de aprendizagem",5,"4%"
"atividade para dislexia",4,"6%"
"dislexia tipos",4,"-1%"
"o que é tdah",4,"2%"
"tipos de dislexia",4,"1%"
"diagnóstico de dislexia",4,"20%"
"cid de dislexia",4,"20%"
