"query","search interest","increase percent"
"como criar uma rotina de estudos",100,"40%"
"como fazer uma rotina de estudos",90,"2%"
"cronograma de estudos",36,"4%"
"rotina de estudos enem",29,"0%"
"rotina de estudos para o enem",16,"30%"
"rotina de estudos para concurso",14,"-20%"
"pedro quer comprar um tênis novo que custa r$ 420,00. ele recebe uma mesada de r$ 150,00 por mês e decidiu guardar 40% desse valor por mês. em quantos meses marcelo conseguirá juntar o valor necessário para comprar o tênis?",7,"Breakout"
"pedro quer comprar um tênis novo que custa r$ 420,00. ele recebe uma mesada de r$ 150,00 por mês e decidiu guardar 40% desse valor por mês. em quantos meses marcelo conseguirá juntar o valor necessário para comprar o tênis? 7 meses 8 meses 5 meses 6 meses",5,"Breakout"
