"query","search interest","increase percent"
"como ter motivação para estudar",100,"70%"
"frase de motivação para estudar",22,"-30%"
"frases de motivação para estudar",20,"-30%"
"frases de motivação",19,"-30%"
"unifatecie",6,"180%"
"a função _______ se refere ao cumprimento dos objetivos e a análise dos meios e das condições necessárias para atingi-los. esse, aliás, é o ponto de partida para as demais funções da avaliação. complete a frase e assinale alternativa",0,"-80%"
