"query","search interest","increase percent"
"o que tdah",100,"-1%"
"sintomas tdah",56,"-30%"
"tdah sintomas",55,"-30%"
"o que é tdah",55,"-8%"
"o que é o tdah",54,"-8%"
"tdah o que é",53,"-10%"
"autismo",45,"20%"
"cid tdah",39,"30%"
"tdah cid",39,"40%"
"tdah teste",35,"-2%"
"teste tdah",34,"-3%"
"tdah adulto",28,"-8%"
"o que e tdah",28,"40%"
"remedio tdah",25,"30%"
"tea",24,"70%"
"tdh",23,"30%"
"criança com tdah",23,"50%"
"sintomas de tdah",23,"-10%"
"autismo e tdah",22,"70%"
"tdah e autismo",21,"60%"
"teste de tdah",18,"0%"
"tod",17,"40%"
"tdah significa",14,"-8%"
"tdah em adultos",13,"-10%"
"tdah significado",13,"-20%"
"ritalina",11,"-10%"
"ritalina tdah",11,"-10%"
"tea e tdah",11,"90%"
"tdah tratamento",11,"-8%"
"tdah o que significa",10,"-3%"
"o que significa tdah",10,"-1%"
"remédio para tdah",9,"20%"
"laudo tdah",9,"70%"
"tdah em crianças",9,"10%"
"tdah e tod",8,"50%"
"tod e tdah",8,"50%"
"venvanse",8,"30%"
"dislexia",8,"20%"
"tdah diagnóstico",8,"30%"
"tdah é deficiencia",8,"30%"
"cid de tdah",8,"30%"
"teste para tdah",8,"10%"
"tda",8,"1%"
"lei tdah",8,"20%"
"tdha",8,"10%"
"sintomas do tdah",7,"5%"
"hiperatividade",7,"20%"
"livro tdah",7,"30%"
"atividades para tdah",6,"30%"
"tdah remedios",6,"30%"
